house_type,state_name,mp_name,constituency_name,ida_name,city_name,block_name,village_name,location_type,work_status,dataset_source,recommended_date,allocated_amount,available_limit,expenditure_amt,actual_end_date,letter_no,is_completed,is_ongoing,is_unsanctioned,internal_key,project_id,expenditure_ratio,cost_variance_pct,project_age_days,days_to_complete,is_overdue,is_stalled,district_median_amount,district_mean_amount,district_std_amount,district_project_count,amount_vs_district_pct,state_median_amount,state_mean_amount,state_std_amount,amount_vs_state_pct,mp_median_amount,mp_project_count,constituency_project_count,risk_flags,financial_risk_score,delay_risk_score,expenditure_risk_score,allocated_amount_log,ml_anomaly_score,peer_deviation_score,duplicate_risk_score,overall_risk_score,risk_band,model_version,rules_version,scored_at
LOK,PUNJAB,MP ANANDPUR 1,ANANDPUR SAHIB,ANANDP DISTRICT AUTHORITY,,ANAND BLOCK,VILLAGE 92,Rural,COMPLETED,Completed,2024-12-19,1994881.28,309045.23,1762879.28,2026-04-07,LTR/PUN/31808/2024,True,False,False,LOK|PUNJAB|ANANDPUR SAHIB|MP ANANDPUR 1|2024-12-19|1994881,1,0.8837013498868465,-11.62986501131536,622,474,False,False,2487877.79,3565507.4891304346,4534632.7658030875,23,-19.815945621669783,2514815.98,3011552.2203773586,3690623.8031883994,-20.674860671117575,2334737.16,10,23,"[{'rule_id': 'R007', 'rule_name': 'Unusually High MP Project Count', 'detection_type': 'RULE', 'severity': 'MODERATE', 'score_contribution': 20, 'justification': 'MP has significantly more projects than peers (> mean + 2*std). May indicate fragmentation of large works into smaller ones.', 'evidence': {'mp_name': 'MP ANANDPUR 1', 'mp_project_count': 10, 'all_mps_mean_count': 4.2, 'all_mps_std_count': 2.6, 'threshold': 9.4, 'deviations_above_mean': 2.21}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,14.506095599046292,9.52,2.36,0.0,1.19,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,KERALA,MP THRISSUR 3,THRISSUR,THRISS DISTRICT AUTHORITY,,THRIS BLOCK,VILLAGE 12,Rural,COMPLETED,Completed,2026-06-13,264434.54,61645.32,245124.99,2026-08-14,LTR/KER/50378/2024,True,False,False,LOK|KERALA|THRISSUR|MP THRISSUR 3|2026-06-13|264435,2,0.9269779583257165,-7.302204167428352,81,62,False,False,2852935.01,2699655.7191666667,1523037.5876316058,12,-90.73114041949381,2616637.24,3351155.517359736,5228045.147718425,-89.89410775182577,3606684.38,7,12,[],0.0,0.0,0.0,12.485352795475606,35.67,10.57,0.0,4.62,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TAMIL NADU,MP CHENNAI 2,CHENNAI NORTH,CHENNA DISTRICT AUTHORITY,,CHENN BLOCK,VILLAGE 964,Rural,COMPLETED,Completed,2026-04-06,4309156.55,187948.39,4070034.51,2026-08-18,LTR/TAM/52951/2024,True,False,False,LOK|TAMIL NADU|CHENNAI NORTH|MP CHENNAI 2|2026-04-06|4309157,3,0.9445083887704195,-5.549161122958043,149,134,False,False,2702745.51,2762677.167368421,1292261.2366327115,19,59.436267086796505,2863597.58,3269220.8874918567,3850237.578020535,50.4805207301509,3761582.86,4,11,[],0.0,0.0,0.0,15.276252978937222,9.06,6.53,0.0,1.56,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,ASSAM,MP DIBRUGAR 1,DIBRUGARH,DIBRUG DISTRICT AUTHORITY,,DIBRU BLOCK,VILLAGE 108,Rural,COMPLETED,Completed,2026-04-13,1202403.11,266075.7,1136922.77,2026-08-23,LTR/ASS/93538/2024,True,False,False,LOK|ASSAM|DIBRUGARH|MP DIBRUGAR 1|2026-04-13|1202403,4,0.9455421069228604,-5.445789307713956,142,132,False,False,2688713.16,2715321.9333333336,1438607.3392568675,27,-55.27960632289983,2659988.74,3140454.027846154,4183702.826233742,-54.79668421453543,3460927.76,13,27,"[{'rule_id': 'R007', 'rule_name': 'Unusually High MP Project Count', 'detection_type': 'RULE', 'severity': 'MODERATE', 'score_contribution': 20, 'justification': 'MP has significantly more projects than peers (> mean + 2*std). May indicate fragmentation of large works into smaller ones.', 'evidence': {'mp_name': 'MP DIBRUGAR 1', 'mp_project_count': 13, 'all_mps_mean_count': 4.2, 'all_mps_std_count': 2.6, 'threshold': 9.4, 'deviations_above_mean': 3.36}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}, {'rule_id': 'R009', 'rule_name': 'Potential Duplicate Work', 'detection_type': 'RULE', 'severity': 'HIGH', 'score_contribution': 50, 'justification': 'Similar project detected in same constituency with close location and amount. NOTE: Similarity based on location+amount only (no work descriptions available). Requires human verification.', 'evidence': {'similar_project_id': 746, 'similarity_score': 1.0, 'match_factors': {'same_state': True, 'same_constituency': True, 'same_mp': True, 'same_ida': True, 'same_location_type': True, 'amount_within_15pct': False, 'dates_within_180_days': False, 'note': 'Similarity based on location+amount only (no work descriptions available in public API)'}, 'note': 'Similarity detection based on location+amount only. Work descriptions not available in public API. Human verification required.'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}, {'rule_id': 'R010', 'rule_name': 'High Constituency Project Concentration', 'detection_type': 'RULE', 'severity': 'LOW', 'score_contribution': 15, 'justification': 'Constituency has 2x+ projects compared to the constituency average. May indicate inequitable distribution or data pattern requiring review.', 'evidence': {'constituency_name': 'DIBRUGARH', 'constituency_project_count': 27, 'all_constituencies_mean_count': 11.6, 'ratio_to_mean': 2.32}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,13.999833535578732,27.93,6.44,100.0,18.44,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,ANDHRA PRADESH,MP BAPATLA 2,BAPATLA,BAPATL DISTRICT AUTHORITY,,BAPAT BLOCK,VILLAGE 253,Rural,COMPLETED,Completed,2023-08-03,2370931.14,38325.92,2032401.55,2025-02-06,LTR/AND/40040/2024,True,False,False,LOK|ANDHRA PRADESH|BAPATLA|MP BAPATLA 2|2023-08-03|2370931,5,0.8572166081550558,-14.278339184494412,1126,553,False,False,3042811.7,2933735.21,1531115.8224664198,18,-22.080911546383238,2474184.48,3145127.080660066,5037652.253546427,-4.1732272122246865,2629724.85,7,18,"[{'rule_id': 'R009', 'rule_name': 'Potential Duplicate Work', 'detection_type': 'RULE', 'severity': 'HIGH', 'score_contribution': 50, 'justification': 'Similar project detected in same constituency with close location and amount. NOTE: Similarity based on location+amount only (no work descriptions available). Requires human verification.', 'evidence': {'similar_project_id': 473, 'similarity_score': 1.0, 'match_factors': {'same_state': True, 'same_constituency': True, 'same_mp': False, 'same_ida': True, 'same_location_type': True, 'amount_within_15pct': False, 'dates_within_180_days': False, 'note': 'Similarity based on location+amount only (no work descriptions available in public API)'}, 'note': 'Similarity detection based on location+amount only. Work descriptions not available in public API. Human verification required.'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,14.678793743802869,6.97,1.75,100.0,15.87,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TAMIL NADU,MP VILLUPUR 3,VILLUPURAM,VILLUP DISTRICT AUTHORITY,,VILLU BLOCK,VILLAGE 353,Rural,COMPLETED,Completed,2025-03-11,2296794.43,301875.06,2015268.72,2025-12-22,LTR/TAM/76536/2024,True,False,False,LOK|TAMIL NADU|VILLUPURAM|MP VILLUPUR 3|2025-03-11|2296794,6,0.8774266837628999,-12.257331623710014,540,286,False,False,2296794.43,2689479.202,1241728.5480525754,5,0.0,2863597.58,3269220.8874918567,3850237.578020535,-19.79339394468967,2296794.43,3,5,[],0.0,0.0,0.0,14.647025418062178,3.14,0.93,0.0,0.41,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TELANGANA,MP ADILABAD 2,ADILABAD,ADILAB DISTRICT AUTHORITY,,ADILA BLOCK,VILLAGE 690,Rural,COMPLETED,Completed,2024-02-14,3601224.72,722511.39,3062129.27,2025-12-02,LTR/TEL/48061/2024,True,False,False,LOK|TELANGANA|ADILABAD|MP ADILABAD 2|2024-02-14|3601225,7,0.8503021910834823,-14.969780891651776,931,657,False,False,3275352.22,3066997.6594117647,1276309.588869976,17,9.949235322239632,2897779.35,3172095.9392880257,4146196.7467793496,24.275325517796933,3405294.95,4,17,[],0.0,0.0,0.0,15.09678482325471,3.13,1.83,0.0,0.5,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,PUNJAB,MP LUDHIANA 1,LUDHIANA,LUDHIA DISTRICT AUTHORITY,,LUDHI BLOCK,VILLAGE 821,Rural,COMPLETED,Completed,2023-08-28,4498922.33,1142899.32,3833732.59,2025-06-03,LTR/PUN/89526/2024,True,False,False,LOK|PUNJAB|LUDHIANA|MP LUDHIANA 1|2023-08-28|4498922,8,0.8521446490497647,-14.785535095023528,1101,645,False,False,2274545.33,2423882.5989473686,1178261.6124918093,19,97.79435787283253,2514815.98,3011552.2203773586,3690623.8031883994,78.89668133888668,2069388.715,8,19,[],0.0,0.0,0.0,15.319348666113308,18.89,10.56,0.0,2.94,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,KARNATAKA,MP CHIKBALL 2,CHIKBALLAPUR,CHIKBA DISTRICT AUTHORITY,,CHIKB BLOCK,VILLAGE 952,Rural,COMPLETED,Completed,2026-06-18,888134.87,249093.92,797568.81,2026-08-29,LTR/KAR/35119/2024,True,False,False,LOK|KARNATAKA|CHIKBALLAPUR|MP CHIKBALL 2|2026-06-18|888135,9,0.8980266814656203,-10.197331853437975,76,72,False,False,3006780.905,6027848.308571428,12490901.283096977,14,-70.46226851703383,2743644.885,3180741.670120482,4817282.744761165,-67.62937963088469,798300.9,4,14,[],0.0,0.0,0.0,13.696880017026723,20.11,8.11,0.0,2.82,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,RAJASTHAN,MP GANGANAG 2,GANGANAGAR,GANGAN DISTRICT AUTHORITY,GANGA CITY,,,Urban,COMPLETED,Completed,2024-04-08,2493960.94,389485.51,2267509.51,2024-12-06,LTR/RAJ/92160/2024,True,False,False,LOK|RAJASTHAN|GANGANAGAR|MP GANGANAG 2|2024-04-08|2493961,10,0.9092000895571363,-9.07999104428637,877,242,False,False,3762209.7,3232869.31,1277613.2705766654,15,-33.710209189030586,2826776.4850000003,3186668.4361034483,3962379.1840553363,-11.773677429611148,3151155.19,6,15,[],0.0,0.0,0.0,14.729383144480174,2.86,2.92,0.0,0.58,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,BIHAR,MP PALIGANJ 3,PALIGANJ,PALIGA DISTRICT AUTHORITY,,PALIG BLOCK,VILLAGE 132,Rural,COMPLETED,Completed,2024-11-12,6152480.66,1799753.45,6092819.59,2026-08-11,LTR/BIH/61629/2024,True,False,False,LOK|BIHAR|PALIGANJ|MP PALIGANJ 3|2024-11-12|6152481,11,0.9903029244142313,-0.9697075585768732,659,637,False,False,1742248.625,2628622.922,1900391.4470028456,10,253.13448216955834,2937949.88,3258337.472611684,4287860.567586842,109.41407822791042,3894973.13,2,10,"[{'rule_id': 'R005', 'rule_name': 'Abnormally High Allocation vs District', 'detection_type': 'RULE', 'severity': 'HIGH', 'score_contribution': 50, 'justification': 'Allocated amount is 3x+ above the district median. May indicate inflated project cost or data entry issue.', 'evidence': {'allocated_amount': 6152480.66, 'district_median_amount': 1742248.625, 'ratio': 3.53, 'pct_above_median': 253.1, 'ida_name': 'PALIGA DISTRICT AUTHORITY'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",50.0,0.0,0.0,15.632366080340832,39.07,22.89,0.0,18.7,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,WEST BENGAL,MP GHATAL 1,GHATAL,GHATAL DISTRICT AUTHORITY,,GHATA BLOCK,VILLAGE 590,Rural,COMPLETED,Completed,2024-07-09,221579.7,60672.62,221065.37,2025-09-16,LTR/WES/64488/2024,True,False,False,LOK|WEST BENGAL|GHATAL|MP GHATAL 1|2024-07-09|221580,12,0.9976788036088142,-0.2321196391185728,785,434,False,False,2490186.3449999997,2315347.8675,1547173.7981751834,8,-91.10188277897731,2887277.125,3395449.535346821,4850272.067499016,-92.32565180247462,1839362.6350000002,6,8,[],0.0,0.0,0.0,12.30854213619956,31.06,10.71,0.0,4.18,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TELANGANA,MP PEDDAPAL 2,PEDDAPALLI,PEDDAP DISTRICT AUTHORITY,,PEDDA BLOCK,VILLAGE 589,Rural,COMPLETED,Completed,2026-03-29,432475.51,62182.38,428103.05,2026-08-05,LTR/TEL/69076/2024,True,False,False,LOK|TELANGANA|PEDDAPALLI|MP PEDDAPAL 2|2026-03-29|432476,13,0.989889693407148,-1.0110306592851976,157,129,False,False,3274289.17,4958552.745,9295490.246557016,16,-86.79177410588937,2897779.35,3172095.9392880257,4146196.7467793496,-85.07562316640843,2092238.25,5,16,[],0.0,0.0,0.0,12.977283291740385,29.83,10.07,0.0,3.99,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,ODISHA,MP JHARSUGU 1,JHARSUGUDA,JHARSU DISTRICT AUTHORITY,,JHARS BLOCK,VILLAGE 782,Rural,COMPLETED,Completed,2025-03-27,3061101.65,644158.25,2986761.09,2026-08-25,LTR/ODI/17498/2024,True,False,False,LOK|ODISHA|JHARSUGUDA|MP JHARSUGU 1|2025-03-27|3061102,14,0.9757144425439123,-2.4285557456087763,524,516,False,False,2288687.41,2578050.1920000003,1131900.2871468822,15,33.74922397113198,2633314.865,3349250.5269407895,5336475.314123972,16.245181716999106,1847160.8,4,15,[],0.0,0.0,0.0,14.934285752157823,3.11,3.13,0.0,0.62,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TELANGANA,MP NALGONDA 2,NALGONDA,NALGON DISTRICT AUTHORITY,,NALGO BLOCK,VILLAGE 107,Rural,COMPLETED,Completed,2024-06-03,2229891.05,495314.69,2200626.24,2025-12-09,LTR/TEL/80432/2024,True,False,False,LOK|TELANGANA|NALGONDA|MP NALGONDA 2|2024-06-03|2229891,15,0.9868761256295461,-1.3123874370453925,821,554,False,False,2572643.545,2847500.2983333333,1844139.2356584643,24,-13.322968728650675,2897779.35,3172095.9392880257,4146196.7467793496,-23.048280056243765,2102559.0,9,24,"[{'rule_id': 'R010', 'rule_name': 'High Constituency Project Concentration', 'detection_type': 'RULE', 'severity': 'LOW', 'score_contribution': 15, 'justification': 'Constituency has 2x+ projects compared to the constituency average. May indicate inequitable distribution or data pattern requiring review.', 'evidence': {'constituency_name': 'NALGONDA', 'constituency_project_count': 24, 'all_constituencies_mean_count': 11.6, 'ratio_to_mean': 2.06}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,14.617463734192844,9.84,2.01,0.0,1.18,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
