house_type,state_name,mp_name,constituency_name,allocated_amount,dataset_source
,ANDHRA PRADESH,MP 001 ANDHRA P,AMARAVATI,106731215.81,Allocated_Limit
,TELANGANA,MP 002 TELANGAN,BHONGIR,33001290.63,Allocated_Limit
,MAHARASHTRA,MP 003 MAHARASH,AURANGABAD,63003518.2,Allocated_Limit
,TAMIL NADU,MP 004 TAMIL NA,CHENNAI SOUTH,56785288.58,Allocated_Limit
,KARNATAKA,MP 005 KARNATAK,BELGAUM,118376545.7,Allocated_Limit
,UTTAR PRADESH,MP 006 UTTAR PR,AZAMGARH,111203938.49,Allocated_Limit
,BIHAR,MP 007 BIHAR,BUXAR,137061548.12,Allocated_Limit
,RAJASTHAN,MP 008 RAJASTHA,CHITTORGARH,40432659.92,Allocated_Limit
,MADHYA PRADESH,MP 009 MADHYA P,GUNA,80630618.36,Allocated_Limit
,GUJARAT,MP 010 GUJARAT,JAMNAGAR,33575666.33,Allocated_Limit
,WEST BENGAL,MP 011 WEST BEN,COOCH BEHAR,56236556.98,Allocated_Limit
,KERALA,MP 012 KERALA,MAVELIKKARA,90642634.57,Allocated_Limit
,PUNJAB,MP 013 PUNJAB,PATIALA,33184316.36,Allocated_Limit
,HARYANA,MP 014 HARYANA,GURGAON,53860518.08,Allocated_Limit
,ODISHA,MP 015 ODISHA,KENDRAPARA,107986132.53,Allocated_Limit
,ASSAM,MP 016 ASSAM,BARPETA,95392977.67,Allocated_Limit
,ANDHRA PRADESH,MP 017 ANDHRA P,RAJAHMUNDRY,56452874.64,Allocated_Limit
,TELANGANA,MP 018 TELANGAN,ADILABAD,100711882.07,Allocated_Limit
,MAHARASHTRA,MP 019 MAHARASH,NANDED,127131654.8,Allocated_Limit
,TAMIL NADU,MP 020 TAMIL NA,RAMANATHAPURAM,30779851.16,Allocated_Limit
,KARNATAKA,MP 021 KARNATAK,MYSORE,126698310.22,Allocated_Limit
,UTTAR PRADESH,MP 022 UTTAR PR,FARRUKHABAD,113776727.4,Allocated_Limit
,BIHAR,MP 023 BIHAR,NAWADA,70830061.98,Allocated_Limit
,RAJASTHAN,MP 024 RAJASTHA,RAJSAMAND,48657539.98,Allocated_Limit
,MADHYA PRADESH,MP 025 MADHYA P,SATNA,144865568.66,Allocated_Limit
,GUJARAT,MP 026 GUJARAT,ANAND,70391345.41,Allocated_Limit
,WEST BENGAL,MP 027 WEST BEN,MALDAHA UTTAR,41129501.21,Allocated_Limit
,KERALA,MP 028 KERALA,KASARAGOD,41605965.22,Allocated_Limit
,PUNJAB,MP 029 PUNJAB,RUPNAGAR,131699323.96,Allocated_Limit
,HARYANA,MP 030 HARYANA,SONIPAT,102447123.76,Allocated_Limit
,ODISHA,MP 031 ODISHA,DHENKANAL,126855392.79,Allocated_Limit
,ASSAM,MP 032 ASSAM,DARRANG-UDALGURI,117567814.4,Allocated_Limit
,ANDHRA PRADESH,MP 033 ANDHRA P,NANDYAL,94347370.97,Allocated_Limit
,TELANGANA,MP 034 TELANGAN,ZAHIRABAD,146773891.68,Allocated_Limit
,MAHARASHTRA,MP 035 MAHARASH,BARAMATI,75424125.27,Allocated_Limit
,TAMIL NADU,MP 036 TAMIL NA,CHENNAI NORTH,96244875.75,Allocated_Limit
,KARNATAKA,MP 037 KARNATAK,CHITRADURGA,129528559.71,Allocated_Limit
,UTTAR PRADESH,MP 038 UTTAR PR,KASGANJ,104222370.28,Allocated_Limit
,BIHAR,MP 039 BIHAR,BANKA,133404828.04,Allocated_Limit
,RAJASTHAN,MP 040 RAJASTHA,DUNGARPUR,99282257.43,Allocated_Limit
,MADHYA PRADESH,MP 041 MADHYA P,GUNA,114548620.35,Allocated_Limit
,GUJARAT,MP 042 GUJARAT,PORBANDAR,35498926.04,Allocated_Limit
,WEST BENGAL,MP 043 WEST BEN,BARDHAMAN PURBA,57347793.08,Allocated_Limit
,KERALA,MP 044 KERALA,CHALAKUDY,64726555.63,Allocated_Limit
,PUNJAB,MP 045 PUNJAB,SANGRUR,39575037.23,Allocated_Limit
,HARYANA,MP 046 HARYANA,KARNAL,57934906.36,Allocated_Limit
,ODISHA,MP 047 ODISHA,BALASORE,42120171.53,Allocated_Limit
,ASSAM,MP 048 ASSAM,DHUBRI,63356832.37,Allocated_Limit
,ANDHRA PRADESH,MP 049 ANDHRA P,CHITTOOR,106282133.31,Allocated_Limit
,TELANGANA,MP 050 TELANGAN,WARANGAL,73779861.48,Allocated_Limit
,MAHARASHTRA,MP 051 MAHARASH,NASHIK,74421716.05,Allocated_Limit
,TAMIL NADU,MP 052 TAMIL NA,POLLACHI,55140843.69,Allocated_Limit
,KARNATAKA,MP 053 KARNATAK,BAGALKOT,62037338.65,Allocated_Limit
,UTTAR PRADESH,MP 054 UTTAR PR,PRATAPGARH,142398550.53,Allocated_Limit
,BIHAR,MP 055 BIHAR,MUNGER,107764246.23,Allocated_Limit
,RAJASTHAN,MP 056 RAJASTHA,UDAIPUR,103095720.68,Allocated_Limit
,MADHYA PRADESH,MP 057 MADHYA P,SATNA,50536637.78,Allocated_Limit
,GUJARAT,MP 058 GUJARAT,JAMNAGAR,117495215.75,Allocated_Limit
,WEST BENGAL,MP 059 WEST BEN,KOLKATA DAKSHIN,49608299.25,Allocated_Limit
,KERALA,MP 060 KERALA,WAYANAD,75534653.01,Allocated_Limit
,PUNJAB,MP 061 PUNJAB,AMRITSAR,148742802.08,Allocated_Limit
,HARYANA,MP 062 HARYANA,BHIWANI-MAHENDRAGARH,106799971.18,Allocated_Limit
,ODISHA,MP 063 ODISHA,KORAPUT,96833969.25,Allocated_Limit
,ASSAM,MP 064 ASSAM,DIBRUGARH,112153710.12,Allocated_Limit
,ANDHRA PRADESH,MP 065 ANDHRA P,VIZIANAGARAM,131142230.42,Allocated_Limit
,TELANGANA,MP 066 TELANGAN,SECUNDERABAD,123119989.39,Allocated_Limit
,MAHARASHTRA,MP 067 MAHARASH,BULDHANA,57485768.64,Allocated_Limit
,TAMIL NADU,MP 068 TAMIL NA,CHENNAI CENTRAL,33852029.27,Allocated_Limit
,KARNATAKA,MP 069 KARNATAK,KODAGU,67854365.77,Allocated_Limit
,UTTAR PRADESH,MP 070 UTTAR PR,AMROHA,62128905.12,Allocated_Limit
,BIHAR,MP 071 BIHAR,ARARIA,55317941.23,Allocated_Limit
,RAJASTHAN,MP 072 RAJASTHA,JALORE,143149165.72,Allocated_Limit
